 165 ( 5, 5) U+00E6 'æ'
 166 ( 6, 5) U+00E7 'ç'
 167 ( 7, 5) U+00E8 'è'
 168 ( 8, 5) U+00E9 'é'
 169 ( 9, 5) U+00EA 'ê'
 170 (10, 5) U+00EB 'ë'
 171 (11, 5) U+00EC 'ì'
 172 (12, 5) U+00ED 'í'
 173 (13, 5) U+00EE 'î'
 174 (14, 5) U+00EF 'ï'
 175 (15, 5) U+00F0 'ð'
 176 (16, 5) U+00F1 'ñ'
 177 (17, 5) U+00F2 'ò'
 178 (18, 5) U+00F3 'ó'
 179 (19, 5) U+00F4 'ô'
 180 (20, 5) U+00F5 'õ'
 181 (21, 5) U+00F6 'ö'
 182 (22, 5) U+00F7 '÷'
 183 (23, 5) U+00F8 'ø'
 184 (24, 5) U+00F9 'ù'
 185 (25, 5) U+00FA 'ú'
 186 (26, 5) U+00FB 'û'
 187 (27, 5) U+00FC 'ü'
 188 (28, 5) U+00FD 'ý'
 189 (29, 5) U+00FE 'þ'
 190 (30, 5) U+00FF 'ÿ'
 191 (31, 5) U+2500 '─'
 192 ( 0, 6) U+2501 '━'
 193 ( 1, 6) U+2502 '│'
 194 ( 2, 6) U+2503 '┃'
 195 ( 3, 6) U+2504 '┄'
 196 ( 4, 6) U+2505 '┅'
 197 ( 5, 6) U+2506 '┆'
 198 ( 6, 6) U+2507 '┇'
 199 ( 7, 6) U+2508 '┈'
 200 ( 8, 6) U+2509 '┉'
 201 ( 9, 6) U+250A '┊'
 202 (10, 6) U+250B '┋'
 203 (11, 6) U+250C '┌'
 204 (12, 6) U+250D '┍'
 205 (13, 6) U+250E '┎'
 206 (14, 6) U+250F '┏'
 207 (15, 6) U+2510 '┐'
 208 (16, 6) U+2511 '┑'
 209 (17, 6) U+2512 '┒'
 210 (18, 6) U+2513 '┓'
 211 (19, 6) U+2514 '└'
 212 (20, 6) U+2515 '┕'
 213 (21, 6) U+2516 '┖'
 214 (22, 6) U+2517 '┗'
 215 (23, 6) U+2518 '┘'
 216 (24, 6) U+2519 '┙'
 217 (25, 6) U+251A '┚'
 218 (26, 6) U+251B '┛'
 219 (27, 6) U+251C '├'
 220 (28, 6) U+251D '┝'
 221 (29, 6) U+251E '┞'
 222 (30, 6) U+251F '┟'
 223 (31, 6) U+2520 '┠'
 224 ( 0, 7) U+2521 '┡'
 225 ( 1, 7) U+2522 '┢'
 226 ( 2, 7) U+2523 '┣'
 227 ( 3, 7) U+2524 '┤'
 228 ( 4, 7) U+2525 '┥'
 229 ( 5, 7) U+2526 '┦'
 230 ( 6, 7) U+2527 '┧'
 231 ( 7, 7) U+2528 '┨'
 232 ( 8, 7) U+2529 '┩'
 233 ( 9, 7) U+252A '┪'
 234 (10, 7) U+252B '┫'
 235 (11, 7) U+252C '┬'
 236 (12, 7) U+252D '┭'
 237 (13, 7) U+252E '┮'
 238 (14, 7) U+252F '┯'
 239 (15, 7) U+2530 '┰'
 240 (16, 7) U+2531 '┱'
 241 (17, 7) U+2532 '┲'
 242 (18, 7) U+2533 '┳'
 243 (19, 7) U+2534 '┴'
 244 (20, 7) U+2535 '┵'
 245 (21, 7) U+2536 '┶'
 246 (22, 7) U+2537 '┷'
 247 (23, 7) U+2538 '┸'
 248 (24, 7) U+2539 '┹'
 249 (25, 7) U+253A '┺'
 250 (26, 7) U+253B '┻'
 251 (27, 7) U+253C '┼'
 252 (28, 7) U+253D '┽'
 253 (29, 7) U+253E '┾'
 254 (30, 7) U+253F '┿'
 255 (31, 7) U+2540 '╀'
 256 ( 0, 8) U+2541 '╁'
 257 ( 1, 8) U+2542 '╂'
 258 ( 2, 8) U+2543 '╃'
 259 ( 3, 8) U+2544 '╄'
 260 ( 4, 8) U+2545 '╅'
 261 ( 5, 8) U+2546 '╆'
 262 ( 6, 8) U+2547 '╇'
 263 ( 7, 8) U+2548 '╈'
 264 ( 8, 8) U+2549 '╉'
 265 ( 9, 8) U+254A '╊'
 266 (10, 8) U+254B '╋'
 267 (11, 8) U+254C '╌'
 268 (12, 8) U+254D '╍'
 269 (13, 8) U+254E '╎'
 270 (14, 8) U+254F '╏'
 271 (15, 8) U+2550 '═'
 272 (16, 8) U+2551 '║'
 273 (17, 8) U+2552 '╒'
 274 (18, 8) U+2553 '╓'
 275 (19, 8) U+2554 '╔'
